User Time (s), System Time (s), Real Time (s)
28.42, 0.49, 28.94
28.50, 0.50, 29.02
28.21, 0.36, 28.59
28.23, 0.37, 28.62
28.70, 0.35, 29.06
28.40, 0.39, 28.81
28.50, 0.43, 28.94
28.39, 0.44, 28.84
28.22, 0.46, 28.70
28.34, 0.41, 28.77
28.25, 0.46, 28.72
28.27, 0.45, 28.74
28.47, 0.41, 28.90
28.65, 0.37, 29.04
28.25, 0.46, 28.73
28.52, 0.46, 29.00
28.12, 0.46, 28.60
28.71, 0.42, 29.16
28.16, 0.41, 28.59
29.02, 0.33, 29.37
28.24, 0.48, 28.74
28.24, 0.41, 28.67
28.56, 0.41, 28.99
28.42, 0.41, 28.86
28.77, 0.36, 29.14
28.32, 0.50, 28.84
28.39, 0.32, 28.73
28.34, 0.43, 28.80
28.09, 0.42, 28.53
28.47, 0.44, 28.94
