User Time (s), System Time (s), Real Time (s), Executable Size (KB)
5.01, 0.11, 5.13, 16.66 
5.03, 0.11, 5.14, 16.66 
5.04, 0.09, 5.13, 16.66 
5.05, 0.10, 5.15, 16.66 
5.07, 0.07, 5.14, 16.66 
5.03, 0.10, 5.14, 16.66 
5.02, 0.10, 5.13, 16.66 
5.04, 0.09, 5.14, 16.66 
5.05, 0.08, 5.13, 16.66 
5.01, 0.12, 5.14, 16.66 
5.09, 0.04, 5.14, 16.66 
5.12, 0.06, 5.19, 16.66 
5.01, 0.14, 5.15, 16.66 
5.03, 0.10, 5.13, 16.66 
5.04, 0.08, 5.13, 16.66 
5.01, 0.12, 5.13, 16.66 
5.04, 0.09, 5.13, 16.66 
5.02, 0.11, 5.14, 16.66 
5.01, 0.11, 5.13, 16.66 
5.03, 0.11, 5.14, 16.66 
5.01, 0.12, 5.14, 16.66 
5.02, 0.10, 5.13, 16.66 
5.07, 0.06, 5.14, 16.66 
5.00, 0.13, 5.13, 16.66 
5.07, 0.06, 5.14, 16.66 
5.01, 0.11, 5.13, 16.66 
5.06, 0.07, 5.13, 16.66 
5.04, 0.07, 5.12, 16.66 
5.02, 0.11, 5.14, 16.66 
5.05, 0.08, 5.14, 16.66 
