User Time (s), System Time (s), Real Time (s)
110.88, 0.02, 110.91
110.10, 0.01, 110.13
110.03, 0.02, 110.06
109.26, 0.01, 109.28
110.26, 0.01, 110.28
109.51, 0.01, 109.53
109.02, 0.01, 109.04
112.54, 0.00, 112.55
109.29, 0.00, 109.30
130.50, 0.01, 130.52
110.01, 0.01, 110.04
109.24, 0.00, 109.26
109.11, 0.01, 109.13
110.37, 0.01, 110.39
109.14, 0.01, 109.17
109.96, 0.00, 109.97
109.55, 0.00, 109.57
116.63, 0.01, 116.65
109.96, 0.01, 109.98
109.30, 0.02, 109.34
109.16, 0.00, 109.18
109.22, 0.01, 109.24
109.09, 0.01, 109.11
110.87, 0.00, 110.89
111.42, 0.01, 111.44
109.74, 0.01, 109.76
115.86, 0.00, 115.87
109.27, 0.00, 109.29
109.22, 0.01, 109.24
109.05, 0.01, 109.07
